Date,MMM,ABT,ABBV,ACN,ADBE,ALL,GOOGL,GOOG,MO,AMZN,AXP,AIG,AMT,AMGN,AAPL,T,BAC,BK,BIIB,BLK,BA,BKNG,BMY,COF,CAT,CHTR,CVX,CSCO,C,KO,CL,CMCSA,COP,COST,CVS,DHR,DOW,DUK,DD,EMR,EXC,XOM,FB,FDX,F,GD,GE,GM,GILD,GS,HD,HON,INTC,IBM,JNJ,JPM,KMI,KHC,LLY,LMT,LOW,MA,MCD,MDT,MRK,MET,MSFT,MDLZ,MS,NFLX,NEE,NKE,NVDA,OXY,ORCL,PYPL,PEP,PFE,PM,PG,QCOM,RTX,CRM,SLB,SPG,SO,SBUX,TGT,TXN,TMO,USB,UNP,UNH,UPS,VZ,V,WMT,WBA,DIS,WFC
2020-07-27,160.3801727294922,99.6578369140625,95.85465240478516,222.44894409179688,437.1000061035156,91.68303680419922,1529.4300537109375,1530.199951171875,41.298805236816406,3055.2099609375,95.39157104492188,30.50876235961914,259.05352783203125,250.26222229003906,94.47636413574219,28.761154174804688,23.973003387451172,35.448272705078125,286.19000244140625,571.8950805664062,170.2100067138672,1702.8299560546875,57.61671829223633,65.55314636230469,139.0407257080078,559.9099731445312,88.44476318359375,46.75871276855469,50.154197692871094,47.716575622558594,74.24044799804688,43.3412971496582,39.28691864013672,317.9417724609375,62.043582916259766,198.80413818359375,42.795223236083984,79.5627670288086,54.79640579223633,62.54381561279297,36.87444305419922,42.19929122924805,233.5,170.15333557128906,6.929999828338623,146.85638427734375,6.698927402496338,25.700000762939453,73.76709747314453,200.7042694091797,264.57452392578125,149.2127685546875,48.88008499145508,122.7981948852539,145.19793701171875,96.00910186767578,13.635222434997559,34.03805160522461,158.9049530029297,377.1341857910156,148.60910034179688,308.500732421875,198.89727783203125,95.88689422607422,78.36007690429688,36.88679885864258,202.82740783691406,55.27290344238281,50.589969635009766,495.6499938964844,68.73685455322266,96.99512481689453,416.73529052734375,16.68366050720215,55.116817474365234,177.97999572753906,136.68711853027344,34.91291427612305,77.316162109375,125.62248229980469,92.20614624023438,60.20123291015625,190.9600067138672,19.433046340942383,60.82600021362305,53.088382720947266,75.68940734863281,121.58389282226562,130.28076171875,413.2290344238281,35.73930358886719,175.11441040039062,297.3746337890625,119.51518249511719,56.27086639404297,196.3169708251953,130.67279052734375,38.92466354370117,116.30999755859375,25.26951026916504
2020-07-28,152.60874938964844,99.52827453613281,95.41069030761719,221.31336975097656,432.260009765625,91.25775146484375,1503.6500244140625,1500.3399658203125,41.68111038208008,3000.330078125,94.02726745605469,30.607656478881836,265.5121765136719,251.860595703125,92.92435455322266,29.1539306640625,24.191484451293945,35.76557159423828,280.3500061035156,567.292724609375,170.83999633789062,1681.75,58.986419677734375,63.917808532714844,137.1920166015625,561.4099731445312,86.56977844238281,45.85702896118164,50.13463592529297,47.42129898071289,75.29463195800781,42.9930534362793,38.48675537109375,317.91265869140625,62.737693786621094,198.83412170410156,41.453006744384766,82.80242919921875,53.47970962524414,61.41938781738281,37.257118225097656,41.70136260986328,230.1199951171875,166.4539031982422,7.010000228881836,147.44190979003906,6.8786301612854,26.329999923706055,72.96549987792969,199.32022094726562,262.4573059082031,150.44992065429688,48.554683685302734,121.10523986816406,144.8526611328125,96.42523956298828,13.558404922485352,34.4386100769043,161.03358459472656,381.6448974609375,147.20394897460938,305.97369384765625,193.94586181640625,95.80734252929688,79.11459350585938,36.6818733215332,201.006591796875,55.402183532714844,49.545047760009766,488.510009765625,69.33353424072266,96.05720520019531,408.4977722167969,16.334001541137695,55.12677764892578,176.27000427246094,136.39920043945312,36.28934097290039,76.75504302978516,127.17386627197266,90.96280670166016,60.11254119873047,189.5,18.909698486328125,62.96609878540039,54.086360931396484,73.88775634765625,122.17848205566406,128.31846618652344,407.1521301269531,35.89744186401367,172.7276611328125,298.69915771484375,118.14234924316406,56.87443923950195,196.14749145507812,131.2205352783203,39.745365142822266,116.18000030517578,25.309165954589844
2020-07-29,153.5126190185547,102.17942810058594,95.7066650390625,223.5048065185547,436.29998779296875,92.9687728881836,1523.510009765625,1522.02001953125,40.80867004394531,3033.530029296875,96.28783416748047,32.30862808227539,269.98052978515625,245.52635192871094,94.70555877685547,29.026277542114258,25.09518814086914,36.04320526123047,277.3599853515625,574.1514892578125,166.00999450683594,1707.5400390625,58.70851135253906,66.19133758544922,139.67684936523438,566.4199829101562,87.50241088867188,46.28310012817383,51.356956481933594,47.26382064819336,75.78193664550781,43.67959213256836,39.45485305786133,316.52484130859375,63.67970275878906,201.9513702392578,42.328365325927734,83.1645736694336,54.96470642089844,62.86930847167969,37.83604049682617,42.160987854003906,233.2899932861328,169.06643676757812,6.920000076293945,148.3052978515625,6.57912540435791,25.889999389648438,72.25296020507812,200.269287109375,261.8439025878906,152.99356079101562,47.400962829589844,121.93225860595703,144.56655883789062,98.76354217529297,13.95209789276123,34.751243591308594,160.1425323486328,382.276611328125,148.20053100585938,308.94024658203125,193.9162139892578,98.16399383544922,78.77703857421875,37.745540618896484,203.03634643554688,56.47621536254883,49.870357513427734,484.4800109863281,69.68014526367188,96.75566101074219,418.4947814941406,17.013338088989258,55.47536849975586,184.60000610351562,136.94525146484375,36.51254653930664,77.16849517822266,127.60149383544922,92.53439331054688,58.53582000732422,193.61000061035156,19.18618392944336,64.38955688476562,54.19398498535156,76.63972473144531,122.56497192382812,129.8074493408203,409.0511779785156,37.27126693725586,176.26321411132812,305.4214782714844,122.15219116210938,56.844757080078125,197.98193359375,130.15492248535156,40.21433639526367,115.61000061035156,25.557003021240234
2020-07-30,149.45497131347656,101.19271850585938,94.74969482421875,223.10635375976562,438.8800048828125,91.0698471069336,1538.3699951171875,1531.449951171875,40.7596549987793,3051.8798828125,94.25631713867188,31.428476333618164,261.2229919433594,242.8525390625,95.85151672363281,29.036096572875977,24.668163299560547,35.557342529296875,274.8599853515625,569.66845703125,161.9499969482422,1687.739990234375,58.43059539794922,64.65570831298828,135.89991760253906,563.4400024414062,83.81073760986328,46.015567779541016,49.743492126464844,46.93901443481445,76.44827270507812,43.450740814208984,37.18278884887695,315.92181396484375,63.461551666259766,201.9613494873047,40.58737564086914,82.7730712890625,53.511451721191406,61.79419708251953,37.74773025512695,40.09267807006836,234.5,172.21743774414062,6.739999771118164,147.72970581054688,6.249670028686523,25.200000762939453,71.58000946044922,197.2540740966797,263.4763488769531,147.62918090820312,47.322078704833984,119.57768249511719,144.86253356933594,96.12799072265625,13.750450134277344,33.59840774536133,151.4794921875,376.7690124511719,148.6888427734375,308.6405944824219,193.1255645751953,95.92666625976562,78.41963958740234,36.64284133911133,202.8771514892578,55.46185302734375,48.589847564697266,485.79998779296875,69.90296936035156,96.60598754882812,424.4330139160156,15.754570007324219,55.027183532714844,192.50999450683594,136.7069854736328,36.38106918334961,76.2431411743164,130.69432067871094,106.61895751953125,56.624046325683594,191.6999969482422,18.208606719970703,62.45561599731445,54.0472297668457,75.86759185791016,123.45685577392578,127.97064208984375,410.3504943847656,36.48057556152344,171.13319396972656,303.9774475097656,139.71255493164062,56.69633865356445,193.4755401611328,129.58724975585938,39.70628356933594,115.66000366210938,24.436777114868164
2020-07-31,147.83389282226562,100.30567932128906,93.63488006591797,223.9032440185547,444.32000732421875,93.35449981689453,1487.949951171875,1482.9599609375,40.338138580322266,3164.679931640625,92.93184661865234,31.78449249267578,260.1283264160156,241.4021759033203,105.8860855102539,29.045915603637695,24.7078857421875,35.54742431640625,274.69000244140625,571.5769653320312,158.0,1662.1300048828125,58.222164154052734,63.61866760253906,132.0732879638672,580.0,81.54715728759766,46.669532775878906,49.39777755737305,46.4961051940918,76.77645111083984,42.585113525390625,36.93582534790039,316.61236572265625,62.41046905517578,203.61988830566406,39.935726165771484,82.939453125,53.232749938964844,61.16293716430664,37.885101318359375,40.293766021728516,253.6699981689453,167.91970825195312,6.610000133514404,145.6258087158203,6.059983730316162,24.889999389648438,68.80904388427734,195.7019805908203,262.6650695800781,147.83702087402344,47.06569290161133,119.6166000366211,143.7970733642578,95.7514877319336,13.792512893676758,33.58863830566406,148.79641723632812,374.0546569824219,148.39984130859375,308.171142578125,192.00875854492188,95.93661499023438,79.66061401367188,36.93559265136719,203.98158264160156,55.18339920043945,48.520362854003906,488.8800048828125,69.49694061279297,97.39424896240234,424.4630126953125,15.72459888458252,55.226375579833984,196.07000732421875,136.6772003173828,36.13690185546875,75.61311340332031,130.39596557617188,105.04737091064453,55.85539627075195,194.85000610351562,17.912370681762695,61.208858489990234,53.43082809448242,75.75870513916016,124.74513244628906,126.64020538330078,413.73876953125,36.41139221191406,171.6779022216797,301.5374755859375,140.99649047851562,56.87443923950195,189.82656860351562,128.8701934814453,39.77467727661133,116.94000244140625,24.05014991760254
2020-08-03,147.7749481201172,100.34555053710938,94.65103912353516,226.2938690185547,447.9700012207031,95.13475036621094,1482.760009765625,1474.449951171875,40.200897216796875,3111.889892578125,93.15093231201172,31.78449249267578,255.34152221679688,244.0562286376953,108.55415344238281,29.085195541381836,24.81712532043457,35.72590637207031,278.1600036621094,576.4874877929688,162.27000427246094,1650.239990234375,58.658878326416016,63.30955123901367,130.97996520996094,589.7000122070312,82.3923568725586,46.72898864746094,49.773128509521484,45.57090377807617,76.14990997314453,42.664710998535156,36.26408767700195,320.29852294921875,63.322731018066406,206.647216796875,38.99228286743164,82.02921295166016,52.217464447021484,61.91255569458008,37.27674102783203,40.456546783447266,251.9600067138672,168.7373809814453,6.690000057220459,146.59835815429688,6.099917888641357,25.639999389648438,70.98623657226562,197.11566162109375,263.3477478027344,147.0056610107422,47.62776184082031,120.9495620727539,145.3656768798828,95.2164535522461,13.724039077758789,33.989200592041016,151.32107543945312,372.20892333984375,149.7551727294922,312.2264099121094,192.1273651123047,96.78182220458984,81.94400787353516,36.846683502197266,215.45375061035156,55.18339920043945,49.096092224121094,498.6199951171875,68.7269515991211,98.11265563964844,440.2782897949219,15.235078811645508,55.75423812866211,197.07000732421875,135.7240447998047,36.01482009887695,75.33747863769531,130.56503295898438,109.00616455078125,56.673316955566406,203.19000244140625,18.485092163085938,59.91301727294922,52.84378433227539,74.73908996582031,126.68745422363281,128.3975830078125,418.87615966796875,36.371856689453125,170.4003143310547,302.3640441894531,140.4236602783203,56.63697052001953,190.11569213867188,128.77061462402344,40.136173248291016,116.3499984741211,24.079893112182617
2020-08-04,148.56092834472656,99.59803771972656,93.02320861816406,226.2639923095703,446.9200134277344,95.1842041015625,1473.300048828125,1464.969970703125,40.779258728027344,3138.830078125,92.8023910522461,29.391260147094727,258.9142150878906,240.33657836914062,109.27909851074219,29.46815299987793,24.836986541748047,35.537513732910156,276.0799865722656,567.630615234375,165.07000732421875,1675.1300048828125,59.026123046875,63.06026077270508,130.7215576171875,600.010009765625,84.02446746826172,47.23432540893555,49.526187896728516,45.95476150512695,76.34881591796875,42.9930534362793,37.18278884887695,330.4817199707031,64.43331146240234,205.8878936767578,40.188602447509766,82.8905258178711,52.91423034667969,61.08403396606445,38.0224723815918,41.62476348876953,249.8300018310547,170.17327880859375,6.860000133514404,146.12200927734375,6.129868030548096,25.799999237060547,70.1450424194336,199.33999633789062,265.0197448730469,145.81797790527344,48.44621276855469,122.43820190429688,145.23741149902344,94.67151641845703,14.183789253234863,34.272525787353516,153.3111114501953,373.0873718261719,149.1572265625,314.02435302734375,197.0293731689453,95.7476806640625,81.08029174804688,36.4515495300293,212.2200469970703,55.27290344238281,48.89756393432617,509.6400146484375,70.57392883300781,97.1148681640625,448.97564697265625,15.72459888458252,55.7741584777832,197.3300018310547,136.48855590820312,36.0523796081543,75.89859771728516,133.0512237548828,110.35892486572266,56.673316955566406,201.41000366210938,18.988693237304688,61.83715057373047,53.26449966430664,74.37281036376953,129.27394104003906,131.2868194580078,415.50787353515625,35.80848693847656,172.0046844482422,303.25042724609375,142.9322967529297,57.29991149902344,191.71087646484375,131.1010284423828,39.989620208740234,117.29000091552734,24.010496139526367
2020-08-05,152.62840270996094,101.80069732666016,91.99717712402344,227.80795288085938,449.510009765625,93.7204360961914,1479.0899658203125,1473.6099853515625,40.838077545166016,3205.030029296875,94.99323272705078,29.846174240112305,254.05775451660156,238.2449188232422,109.6751937866211,29.31104278564453,25.214357376098633,35.993629455566406,276.1700134277344,578.67431640625,174.27999877929688,1724.77001953125,59.244476318359375,64.48619079589844,134.15060424804688,598.260009765625,84.71421813964844,46.89743423461914,50.4151725769043,46.476417541503906,75.76205444335938,42.077674865722656,37.55817413330078,330.65679931640625,63.85818862915039,205.3583526611328,40.84026336669922,81.735595703125,54.47697067260742,63.80633544921875,37.01181411743164,41.98863220214844,249.1199951171875,171.21031188964844,6.960000038146973,148.05718994140625,6.389439105987549,26.329999923706055,68.28453826904297,202.18716430664062,264.6339111328125,149.27215576171875,48.239131927490234,122.0587387084961,146.40151977539062,96.31624603271484,14.125097274780273,33.97943115234375,152.80616760253906,378.5259094238281,149.74520874023438,327.6184997558594,196.9305419921875,96.47356414794922,81.05050659179688,37.81477355957031,211.87181091308594,54.845279693603516,49.403812408447266,502.1099853515625,70.2594985961914,100.71688842773438,451.3349609375,15.924403190612793,55.27617263793945,202.91000366210938,135.27725219726562,36.108726501464844,75.76078033447266,132.7031707763672,110.79657745361328,59.156654357910156,202.63999938964844,19.255306243896484,61.356117248535156,52.24695587158203,75.0162582397461,128.20367431640625,131.7534637451172,419.68572998046875,36.43115997314453,175.75814819335938,311.1877136230469,143.287841796875,56.93381118774414,195.50941467285156,129.2785186767578,39.872379302978516,127.61000061035156,24.188940048217773
2020-08-06,153.2670135498047,101.41199493408203,91.3263168334961,229.98941040039062,464.1099853515625,93.44351196289062,1504.949951171875,1500.0999755859375,40.730247497558594,3225.0,95.52102661132812,28.995685577392578,254.2766876220703,238.32383728027344,113.50167846679688,29.30122184753418,25.293804168701172,35.686248779296875,277.6600036621094,578.7538452148438,172.1999969482422,1751.7900390625,60.87223815917969,63.36937713623047,133.57412719726562,602.1400146484375,84.97653198242188,47.333412170410156,50.267005920410156,46.732322692871094,75.44380950927734,42.65475845336914,37.58781051635742,333.9052734375,63.580543518066406,205.5082244873047,40.898616790771484,82.42071533203125,54.457061767578125,64.23046112060547,37.18843460083008,41.78754425048828,265.2799987792969,171.748779296875,6.929999828338623,148.007568359375,6.319554328918457,26.6200008392334,68.09650421142578,201.9202423095703,266.5037841796875,151.0140838623047,48.219276428222656,122.71063232421875,145.56297302246094,96.3459701538086,13.988151550292969,34.467918395996094,151.36068725585938,374.81463623046875,150.67202758789062,329.7560119628906,200.80471801757812,96.1852035522461,80.46477508544922,36.530574798583984,215.26470947265625,55.18339920043945,49.08616638183594,509.0799865722656,70.01934051513672,100.22796630859375,453.2843933105469,15.434882164001465,55.05706024169922,204.08999633789062,134.89004516601562,35.93968963623047,75.91828918457031,131.97720336914062,110.46833801269531,58.99898147583008,207.7899932861328,19.077564239501953,60.07991027832031,52.726375579833984,75.30490112304688,127.84690856933594,132.7860565185547,415.51788330078125,36.36197280883789,177.87750244140625,312.77117919921875,143.67303466796875,57.22075653076172,198.17137145996094,128.82040405273438,39.950538635253906,130.82000732421875,24.129213333129883
2020-08-07,155.55618286132812,100.89372253417969,91.67161560058594,230.6567840576172,449.57000732421875,95.84685516357422,1498.3699951171875,1494.489990234375,41.3380126953125,3167.4599609375,98.74755859375,30.320863723754883,256.3665466308594,237.47532653808594,110.92113494873047,29.47797203063965,25.92937660217285,37.431392669677734,305.7099914550781,584.6782836914062,170.02000427246094,1754.47998046875,60.564552307128906,65.66645812988281,134.1009063720703,601.8699951171875,84.32563018798828,46.99652099609375,51.48194885253906,47.04728317260742,75.82172393798828,42.595062255859375,37.834774017333984,331.571044921875,64.4134750366211,205.21847534179688,41.462738037109375,84.76972961425781,55.611698150634766,65.46337890625,38.199092864990234,41.59603500366211,268.44000244140625,183.00656127929688,6.860000133514404,151.80848693847656,6.389439105987549,26.719999313354492,68.63090515136719,205.89437866210938,268.7496337890625,153.51812744140625,47.68317413330078,123.17391204833984,146.5988311767578,98.46629333496094,14.00771427154541,34.59492874145508,151.41017150878906,380.618408203125,152.25657653808594,327.6384582519531,202.2081298828125,99.48650360107422,80.43498229980469,38.249427795410156,211.41412353515625,55.292789459228516,49.97954177856445,494.7300109863281,71.24983215332031,101.63484954833984,447.84600830078125,15.434882164001465,55.00726318359375,198.6300048828125,135.76376342773438,36.108726501464844,76.29236602783203,132.81256103515625,107.67330932617188,60.339195251464844,201.0500030517578,19.38367462158203,61.051788330078125,53.50910186767578,75.43428802490234,130.5622100830078,132.60733032226562,414.1185607910156,37.02417755126953,181.16546630859375,315.72900390625,154.96182250976562,57.91337966918945,195.76861572265625,129.4378662109375,40.566062927246094,129.92999267578125,24.955421447753906
2020-08-10,158.61170959472656,99.70767211914062,91.13886260986328,229.44154357910156,443.2900085449219,96.18312072753906,1496.8199462890625,1496.0999755859375,42.36730194091797,3148.159912109375,101.19732666015625,31.112014770507812,252.18682861328125,234.98898315429688,112.53335571289062,29.654722213745117,26.376262664794922,37.61978530883789,300.260009765625,576.7359619140625,179.41000366210938,1768.5799560546875,61.358577728271484,67.32434844970703,141.15780639648438,602.3400268554688,87.17210388183594,47.29377746582031,52.212890625,46.968544006347656,76.22947692871094,42.80400848388672,39.15849685668945,330.68597412109375,65.15716552734375,201.87144470214844,43.57331848144531,82.95903778076172,57.403377532958984,67.23878479003906,37.59073257446289,42.62061309814453,263.0,199.40965270996094,7.090000152587891,155.37123107910156,6.658993721008301,27.979999542236328,67.79962158203125,206.99171447753906,271.8067626953125,157.7937774658203,48.864585876464844,125.29318237304688,146.0364990234375,99.71471405029297,14.222917556762695,33.989200592041016,151.4794921875,384.2112121582031,153.193359375,322.50445556640625,201.73373413085938,99.81464385986328,80.3257827758789,39.29654312133789,207.205322265625,55.18339920043945,50.207855224609375,483.3800048828125,70.22483825683594,105.17700958251953,446.4664306640625,16.46387481689453,54.71842956542969,193.32000732421875,135.00918579101562,36.0523796081543,77.14881134033203,133.35952758789062,105.79338073730469,63.295555114746094,197.16000366210938,19.966270446777344,64.27175903320312,53.880897521972656,77.10640716552734,131.74148559570312,134.4441375732422,409.9507141113281,37.034061431884766,185.04766845703125,317.7904968261719,157.61859130859375,58.368534088134766,196.19732666015625,131.3400421142578,41.87527847290039,128.7899932861328,24.587112426757812
2020-08-11,160.51773071289062,98.73092651367188,91.42497253417969,227.678466796875,435.2300109863281,95.76773071289062,1480.5400390625,1480.3199462890625,42.73979949951172,3080.669921875,102.83050537109375,31.626262664794922,245.01162719726562,231.51597595214844,109.1866226196289,29.654722213745117,26.733774185180664,37.81809997558594,289.94000244140625,583.1375122070312,180.1300048828125,1805.0999755859375,62.6588020324707,69.54151916503906,141.66470336914062,590.47998046875,87.06523895263672,46.75871276855469,53.101871490478516,47.17523956298828,75.54325866699219,42.7741584777832,39.22764587402344,323.3233337402344,64.71095275878906,199.83323669433594,43.281532287597656,81.8921890258789,57.03508758544922,69.329833984375,37.18843460083008,43.061092376708984,256.1300048828125,195.8897247314453,7.230000019073486,157.64385986328125,6.7188944816589355,28.520000457763672,67.39386749267578,208.6525421142578,271.9947509765625,158.6350555419922,47.842018127441406,124.9383316040039,144.9907684326172,102.865478515625,14.105534553527832,33.8328857421875,149.133056640625,386.87615966796875,153.34283447265625,328.1578674316406,202.6034393310547,100.1527328491211,80.3257827758789,40.076942443847656,202.35977172851562,54.89500045776367,51.39902114868164,466.92999267578125,68.77647399902344,104.88764953613281,433.87017822265625,15.145166397094727,54.0511360168457,189.02999877929688,134.1553192138672,35.488914489746094,77.49335479736328,132.49432373046875,108.2502212524414,63.32511520385742,191.99000549316406,20.045265197753906,65.92101287841797,53.0198974609375,78.49983215332031,130.53248596191406,135.06964111328125,407.0321960449219,37.82475280761719,188.513916015625,314.25506591796875,153.92481994628906,57.89358901977539,197.17437744140625,129.6669158935547,40.88848114013672,130.49000549316406,25.20427894592285
2020-08-12,161.38229370117188,100.3156509399414,94.22682189941406,228.85385131835938,445.3599853515625,95.17430877685547,1507.239990234375,1506.6199951171875,42.1124267578125,3162.239990234375,101.25707244873047,30.597766876220703,250.08702087402344,238.49156188964844,112.81536865234375,29.63508415222168,26.545087814331055,37.65945053100586,293.2200012207031,586.7160034179688,175.44000244140625,1808.0699462890625,63.16499328613281,68.06340789794922,141.7044677734375,598.739990234375,88.13388061523438,47.660396575927734,52.69689178466797,47.667362213134766,76.81623840332031,43.12240219116211,41.153961181640625,327.53472900390625,64.44322204589844,205.73802185058594,43.06755447387695,82.52838134765625,58.08023452758789,70.80934143066406,37.98322296142578,43.05132293701172,259.8900146484375,201.38401794433594,7.110000133514404,155.22238159179688,6.708910942077637,28.030000686645508,68.1261978149414,209.71035766601562,278.5838317871094,158.42721557617188,48.83479690551758,124.8890380859375,147.64456176757812,101.99356842041016,14.174007415771484,34.51677322387695,151.03395080566406,387.3499450683594,156.0933837890625,327.2489318847656,203.6115264892578,101.51500701904297,82.08300018310547,39.55338668823242,208.140625,55.72041320800781,51.99460983276367,475.4700012207031,70.46004486083984,104.9874267578125,457.4731140136719,14.905401229858398,53.951534271240234,191.32000732421875,136.81619262695312,35.99603271484375,78.4482421875,134.71202087402344,115.17314147949219,63.354679107666016,192.6199951171875,20.104515075683594,66.58856964111328,53.67543411254883,78.91786193847656,133.3865203857422,137.65109252929688,415.9576416015625,37.3701057434082,189.97962951660156,320.9474792480469,155.84083557128906,57.98263931274414,198.14146423339844,131.35000610351562,40.85917282104492,131.7899932861328,25.074872970581055
2020-08-13,162.9542694091797,100.76415252685547,93.40796661376953,230.8261260986328,450.0199890136719,95.20398712158203,1516.6500244140625,1518.449951171875,41.73012161254883,3161.02001953125,100.00231170654297,30.370309829711914,249.51976013183594,237.24839782714844,114.81192016601562,29.369958877563477,26.16771697998047,36.96535873413086,288.5400085449219,586.0401000976562,174.72999572753906,1792.969970703125,62.767982482910156,67.5540542602539,139.8159942626953,604.219970703125,87.25953674316406,42.329566955566406,52.242523193359375,47.6181526184082,76.55767059326172,43.172149658203125,40.136474609375,326.5037536621094,64.1556625366211,207.00689697265625,43.21344757080078,81.91948699951172,57.75175857543945,69.7266845703125,37.599693298339844,41.99676513671875,261.29998779296875,203.27857971191406,7.03000020980835,153.77345275878906,6.589108943939209,27.549999237060547,67.4730453491211,206.0130157470703,278.66302490234375,158.23809814453125,48.2093505859375,123.24291229248047,146.0069122314453,101.4288101196289,13.958806037902832,34.751243591308594,149.6908721923828,384.1914367675781,155.16656494140625,325.81060791015625,204.07601928710938,100.71952056884766,82.9367904663086,38.96067428588867,207.65306091308594,55.700523376464844,51.79608154296875,481.3299865722656,70.41300201416016,106.2845458984375,457.5830993652344,14.585714340209961,53.80214309692383,193.07000732421875,137.1140594482422,35.84577560424805,76.92239379882812,135.03024291992188,112.80582427978516,62.8433952331543,195.13999938964844,19.620662689208984,64.81169128417969,53.82218933105469,78.64912414550781,133.59461975097656,136.17172241210938,416.3874206542969,36.93522262573242,187.88998413085938,320.2005615234375,157.32229614257812,57.90348434448242,197.28274536132812,131.85000610351562,40.058013916015625,130.9600067138672,24.905649185180664
2020-08-14,163.19007873535156,99.6578369140625,93.792724609375,229.35189819335938,447.6000061035156,95.06552124023438,1504.6300048828125,1507.72998046875,41.700714111328125,3148.02001953125,99.99236297607422,30.647212982177734,248.91270446777344,238.09266662597656,114.70960235595703,29.46815299987793,26.28688621520996,37.2132453918457,289.45001220703125,584.9466552734375,178.0800018310547,1778.8699951171875,62.68857955932617,69.38172912597656,139.11032104492188,604.989990234375,87.77442932128906,42.111576080322266,52.28203201293945,47.68704605102539,76.62728118896484,43.55024337768555,40.32416534423828,327.06787109375,65.11750030517578,204.678955078125,43.64139938354492,81.33533477783203,57.89111328125,69.2598648071289,37.589786529541016,42.18229293823242,261.239990234375,208.0050811767578,7.039999961853027,155.27200317382812,6.649009704589844,27.860000610351562,67.78972625732422,205.59779357910156,277.5647888183594,159.53204345703125,48.536964416503906,123.47948455810547,146.24368286132812,101.46844482421875,13.978368759155273,34.77078628540039,149.32275390625,386.34320068359375,153.81121826171875,326.4198913574219,204.60971069335938,100.14278411865234,82.87722778320312,39.12861251831055,207.85206604003906,55.80991744995117,51.91519546508789,482.67999267578125,69.44741821289062,106.19474792480469,462.4216613769531,14.625675201416016,53.98141860961914,191.4600067138672,136.57791137695312,35.74247741699219,76.49909210205078,134.35400390625,113.1340560913086,63.18094253540039,193.4600067138672,19.818153381347656,66.93215942382812,53.020355224609375,78.00218200683594,135.2991180419922,136.37030029296875,413.54888916015625,37.3404541015625,190.06875610351562,322.37164306640625,158.75439453125,58.1706428527832,196.3441619873047,132.60000610351562,40.947105407714844,130.52999877929688,25.184368133544922
2020-08-17,161.8244171142578,100.37544250488281,95.05552673339844,231.71266174316406,451.5799865722656,94.1852798461914,1516.239990234375,1517.97998046875,42.18104553222656,3182.409912109375,97.14425659179688,29.628604888916016,249.6988983154297,241.37039184570312,114.41011047363281,29.31104278564453,25.720829010009766,36.77696228027344,289.1600036621094,588.495361328125,172.00999450683594,1752.9200439453125,63.145145416259766,66.70513153076172,137.87783813476562,604.969970703125,88.18245697021484,41.705326080322266,50.7905158996582,47.450828552246094,76.7863998413086,43.31144714355469,40.205623626708984,330.6470642089844,64.3539810180664,205.38833618164062,43.24262619018555,81.78086853027344,57.1943473815918,68.78309631347656,37.00507736206055,41.63548278808594,261.1600036621094,206.0506591796875,6.980000019073486,152.55279541015625,6.459323406219482,30.010000228881836,68.4329833984375,200.75369262695312,285.1730041503906,158.01913452148438,48.57667922973633,122.66134643554688,146.98358154296875,98.79326629638672,14.125097274780273,35.10295867919922,150.75538635253906,383.9150695800781,157.86729431152344,329.8459167480469,206.23052978515625,101.28630828857422,84.14797973632812,38.40748596191406,209.2251434326172,56.207706451416016,50.90270233154297,482.3500061035156,70.06390380859375,105.42645263671875,493.3324279785156,13.89638900756836,53.77226638793945,196.2899932861328,136.93533325195312,36.01482009887695,77.04052734375,134.7517852783203,111.5823745727539,62.31721878051758,196.74000549316406,19.758907318115234,66.93215942382812,53.050048828125,78.57945251464844,136.99371337890625,137.29367065429688,416.5873107910156,36.500343322753906,191.99993896484375,319.1947326660156,158.31982421875,58.160743713378906,199.1299591064453,135.60000610351562,40.2338752746582,129.3699951171875,24.35816192626953
